Top Designator,Comment,Footprint,Quantity,Total Price,Product Link
C2,47uf,0201,2.0,1.333,https://jlcpcb.com/partdetail/3127-KM476M450K25RR0VH2FP0/C2746
C3,10uf,0201,20.0,0.586,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691
C4,100nf,0201,20.0,0.146,https://jlcpcb.com/partdetail/MurataElectronics-GRM033R61A104KE15D/C76934
"C5,C6",22uf,0201,8.0,2.5128,https://jlcpcb.com/partdetail/2211-1206X226K100NT/C1859
"C5(1UF)1,C6(100NF)1","C5(1UF)1,C6(100NF)1",0805,20.0,0.644,https://jlcpcb.com/partdetail/YAGEO-CC0805KRX7R9BB104/C49678
"D1,D2,D3",LED,0201,10.0,0.681,https://jlcpcb.com/partdetail/XINGLIGHT-XL0201SURC/C3646923
D4,1N4001,D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,4.0,0.0776,https://jlcpcb.com/partdetail/49200031-1N4001/C47018536
L1,4.7uh,0603,20.0,0.414,https://jlcpcb.com/partdetail/Sunlord-SDFL1608Q4R7KTF/C1034
L2,2.2uh,0603,20.0,0.504,https://jlcpcb.com/partdetail/270373-CMI160808U2R2KT/C284875
Q1,AO3401A,SOT-23,6.0,0.5946,https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3401A/C15127
"R1,R2",33R,0603,20.0,0.158,https://jlcpcb.com/partdetail/23867-0603WAF330JT5E/C23140
"R3,R4",50K,0603,20.0,0.65,https://jlcpcb.com/partdetail/YAGEO-RT0603BRD0750KL/C861451
"R6,R7,R8",1K,0201,20.0,0.05,https://jlcpcb.com/partdetail/259895-0201WMF1001TEE/C270365
"R1(10K)1,R2(100R)1",R,0805,6.0,0.5364,https://jlcpcb.com/partdetail/FuzetecTech-FSMD050_0805R/C181350
"SW1,SW2",SW_Push,SW_SPST_PTS810,4.0,2.3948,https://jlcpcb.com/partdetail/41719-DSHP02TSGET/C40735
U5,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,2.0,10.8594,https://jlcpcb.com/partdetail/3198300-ESP32_S3_WROOM_1N16R8/C2913202
U2,AP63203WU,TSOT-23-6,5.0,0.6019,https://jlcpcb.com/partdetail/DiodesIncorporated-AP63203WU7/C780769
PCB,PCB Cost,,1.0,4.0,https://jlcpcb.com
SETUP,Setup Fee,,1.0,25.0,https://jlcpcb.com
LOAD,Loading Fee,,1.0,14.0,https://jlcpcb.com
SHIPPING,Shipping,,1.0,16.78,https://jlcpcb.com
TOTAL,,,,82.5235,https://jlcpcb.com

